"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/EUR","","","",""
"2011-12-31","0.7188",,,,
"2010-12-31","0.7546",,,,
"2009-12-31","0.7190",,,,
"2008-12-31","0.6832",,,,
"2007-12-31","0.7306",,,,
"2006-12-31","0.7968",,,,
"2005-12-31","0.8043",,,,
"2004-12-31","0.8048",,,,
"2003-12-31","0.8851",,,,
"2002-12-31","1.0606",,,,
"2001-12-31","1.1163",,,,
"2000-12-31","1.0843",,,,
"1999-12-31","0.9387",,,,
"1998-12-31","0.8535",,,,
""
"Period Average","0.8536","","","",""
"Period Low","0.6832","","","",""
"Period High","1.1163","","","",""
