"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/NIO","","","",""
"2011-12-31","22.0619",,,,
"2010-12-31","20.9750",,,,
"2009-12-31","19.7123",,,,
"2008-12-31","19.0669",,,,
"2007-12-31","17.9564",,,,
"2006-12-31","16.6123",,,,
"2005-12-31","16.2187",,,,
"2004-12-31","15.7894",,,,
"2003-12-31","14.9733",,,,
"2002-12-31","14.1850",,,,
"2001-12-31","13.3386",,,,
"2000-12-31","12.2744",,,,
"1999-12-31","11.7800",,,,
"1998-12-31","10.5652",,,,
"1997-12-31","9.4283",,,,
"1996-12-31","8.4141",,,,
"1995-12-31","7.5095",,,,
""
"Period Average","14.7565","","","",""
"Period Low","7.5095","","","",""
"Period High","22.0619","","","",""
