"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/KHR","","","",""
"2011-12-31","4,019.7245",,,,
"2010-12-31","4,137.0183",,,,
"2009-12-31","4,080.8357",,,,
"2008-12-31","3,955.5482",,,,
"2007-12-31","3,899.2085",,,,
"2006-12-31","3,888.9901",,,,
"2005-12-31","3,866.7732",,,,
"2004-12-31","3,788.4003",,,,
"2003-12-31","3,705.7836",,,,
"2002-12-31","3,653.9556",,,,
"2001-12-31","3,781.6211",,,,
"2000-12-31","3,818.1591",,,,
"1999-12-31","3,795.8579",,,,
"1998-12-31","3,748.2767",,,,
"1997-12-31","2,750.0137",,,,
"1996-12-31","2,300.0000",,,,
"1995-12-31","2,220.0000",,,,
""
"Period Average","3,612.3627","","","",""
"Period Low","2,220.0000","","","",""
"Period High","4,137.0183","","","",""
