NETHERLANDS,AEX,^AEX,
INDIA,SENSEX,^BSESN,
SRI LANKA,CSEALLSHARE,^CSE,
UNITED STATES,DOWJONES,DIA,
FRANCE,CAC40,^FCHI,
UNITED KINGDOM,FTSE100,^FTSE,
GERMANY,DAX,^GDAXI,
HONG KONG,HSI,^HSI,
SPAIN,IBEX35,^IBEX,
IRELAND,ISEQ,^ISEQ,
MALAYSIA,FTSEKLCI,^KLSE,
SOUTH KOREA,KOSPI,^KS11,
ARGENTINA,MERVAL,^MERV,
MEXICO,IPC,^MXX,
JAPAN,NIKKEI225,^N225,
NEW ZEALAND,NZX50,^NZ50,
SWEDEN,OMX30,^OMX,
SWITZERLAND,SMI,^SSMI,
SINGAPORE,STI,^STI,
CHINA,SSECOMPOSITE,000001.SS,
ITALY,FTSEMIB,FTSEMIB.MI,
BRAZIL,BOVESPA,manual,ibov.csv
CANADA,S&P/TSX,manual,osptx.csv
TURKEY,XU100,manual,xu100.csv
DENMARK,OMXCOPENHAGEN,OMXC20.CO,
