"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/SBD","","","",""
"2011-12-31","7.0142",,,,
"2010-12-31","7.3976",,,,
"2009-12-31","7.2123",,,,
"2008-12-31","6.9686",,,,
"2007-12-31","6.9686",,,,
"2006-12-31","6.9903",,,,
"2005-12-31","7.3023",,,,
"2004-12-31","7.3394",,,,
"2003-12-31","7.3568",,,,
"2002-12-31","6.5303",,,,
"2001-12-31","5.2197",,,,
"2000-12-31","5.0317",,,,
"1999-12-31","4.8549",,,,
"1998-12-31","4.3913",,,,
"1997-12-31","3.6471",,,,
"1996-12-31","3.5063",,,,
"1995-12-31","3.3571",,,,
""
"Period Average","5.9464","","","",""
"Period Low","3.3571","","","",""
"Period High","7.3976","","","",""
