"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/THB","","","",""
"2011-12-31","30.2938",,,,
"2010-12-31","31.5062",,,,
"2009-12-31","34.0842",,,,
"2008-12-31","32.7079",,,,
"2007-12-31","32.0537",,,,
"2006-12-31","37.8620",,,,
"2005-12-31","40.2115",,,,
"2004-12-31","40.2049",,,,
"2003-12-31","41.4745",,,,
"2002-12-31","42.9573",,,,
"2001-12-31","44.4659",,,,
"2000-12-31","40.1458",,,,
"1999-12-31","37.8205",,,,
"1998-12-31","41.1721",,,,
"1997-12-31","31.0449",,,,
"1996-12-31","25.3479",,,,
"1995-12-31","24.9107",,,,
""
"Period Average","35.7802","","","",""
"Period Low","24.9107","","","",""
"Period High","44.4659","","","",""
