"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/NOK","","","",""
"2011-12-31","5.6008",,,,
"2010-12-31","6.0394",,,,
"2009-12-31","6.2848",,,,
"2008-12-31","5.6379",,,,
"2007-12-31","5.8569",,,,
"2006-12-31","6.4084",,,,
"2005-12-31","6.4392",,,,
"2004-12-31","6.7386",,,,
"2003-12-31","7.0753",,,,
"2002-12-31","7.9804",,,,
"2001-12-31","8.9828",,,,
"2000-12-31","8.7971",,,,
"1999-12-31","7.7976",,,,
"1998-12-31","7.5438",,,,
"1997-12-31","7.0734",,,,
"1996-12-31","6.4552",,,,
"1995-12-31","6.3347",,,,
""
"Period Average","6.8851","","","",""
"Period Low","5.6008","","","",""
"Period High","8.9828","","","",""
