"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/SHP","","","",""
"2011-12-31","0.6222",,,,
"2010-12-31","0.6307",,,,
"2009-12-31","0.5736",,,,
"2008-12-31","0.5736",,,,
"2007-12-31","0.5736",,,,
"2006-12-31","0.5728",,,,
"2005-12-31","0.5463",,,,
"2004-12-31","0.5468",,,,
"2003-12-31","0.6820",,,,
"2002-12-31","0.6940",,,,
"2001-12-31","1.2143",,,,
"2000-12-31","1.5174",,,,
"1999-12-31","1.6199",,,,
"1998-12-31","1.6588",,,,
"1997-12-31","1.6404",,,,
"1996-12-31","1.5535",,,,
"1995-12-31","1.5996",,,,
""
"Period Average","0.9894","","","",""
"Period Low","0.5463","","","",""
"Period High","1.6588","","","",""
