"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/NGN","","","",""
"2011-12-31","154.2602",,,,
"2010-12-31","149.2727",,,,
"2009-12-31","148.2650",,,,
"2008-12-31","117.1912",,,,
"2007-12-31","122.4478",,,,
"2006-12-31","124.2378",,,,
"2005-12-31","130.4839",,,,
"2004-12-31","131.0180",,,,
"2003-12-31","128.8690",,,,
"2002-12-31","119.1274",,,,
"2001-12-31","113.3387",,,,
"2000-12-31","104.3339",,,,
"1999-12-31","95.1350",,,,
"1998-12-31","85.5452",,,,
"1997-12-31","81.4699",,,,
"1996-12-31","81.1489",,,,
"1995-12-31","31.2444",,,,
""
"Period Average","112.7876","","","",""
"Period Low","31.2444","","","",""
"Period High","154.2602","","","",""
