"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/IQD","","","",""
"2011-12-31","1,158.3387",,,,
"2010-12-31","1,151.6625",,,,
"2009-12-31","1,139.6710",,,,
"2008-12-31","1,172.5772",,,,
"2007-12-31","1,218.0535",,,,
"2006-12-31","1,412.2022",,,,
"2005-12-31","1,431.8600",,,,
"2004-12-31","2,201.1964",,,,
"2003-12-31","2,976.9633",,,,
"2002-12-31","2,950.3151",,,,
"2001-12-31","2,661.8482",,,,
"2000-12-31","1,755.5738",,,,
"1999-12-31","1,206.9863",,,,
"1998-12-31","1,200.0000",,,,
"1997-12-31","1,084.4516",,,,
"1996-12-31","108.7518",,,,
"1995-12-31","263.2265",,,,
""
"Period Average","1,476.0987","","","",""
"Period Low","108.7518","","","",""
"Period High","2,976.9633","","","",""
