"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/IDR","","","",""
"2011-12-31","8,724.1064",,,,
"2010-12-31","9,056.7262",,,,
"2009-12-31","10,387.2033",,,,
"2008-12-31","9,661.7127",,,,
"2007-12-31","9,124.9790",,,,
"2006-12-31","9,157.4439",,,,
"2005-12-31","9,699.5822",,,,
"2004-12-31","8,928.0522",,,,
"2003-12-31","8,552.4290",,,,
"2002-12-31","9,290.8096",,,,
"2001-12-31","10,228.8468",,,,
"2000-12-31","8,373.1281",,,,
"1999-12-31","7,817.4603",,,,
"1998-12-31","10,102.6425",,,,
"1997-12-31","2,889.9733",,,,
"1996-12-31","2,327.3314",,,,
"1995-12-31","2,243.7059",,,,
""
"Period Average","8,033.3019","","","",""
"Period Low","2,243.7059","","","",""
"Period High","10,387.2033","","","",""
