"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/TND","","","",""
"2011-12-31","1.4011",,,,
"2010-12-31","1.4184",,,,
"2009-12-31","1.3274",,,,
"2008-12-31","1.2168",,,,
"2007-12-31","1.2643",,,,
"2006-12-31","1.3169",,,,
"2005-12-31","1.2958",,,,
"2004-12-31","1.2707",,,,
"2003-12-31","1.3098",,,,
"2002-12-31","1.4082",,,,
"2001-12-31","1.4319",,,,
"2000-12-31","1.3671",,,,
"1999-12-31","1.1835",,,,
"1998-12-31","1.1357",,,,
"1997-12-31","1.0977",,,,
"1996-12-31","0.9738",,,,
""
"Period Average","1.2762","","","",""
"Period Low","0.9738","","","",""
"Period High","1.4319","","","",""
