"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/HNL","","","",""
"2011-12-31","18.5472",,,,
"2010-12-31","18.5441",,,,
"2009-12-31","18.5550",,,,
"2008-12-31","18.7043",,,,
"2007-12-31","18.4560",,,,
"2006-12-31","18.0954",,,,
"2005-12-31","18.0243",,,,
"2004-12-31","17.6789",,,,
"2003-12-31","16.7808",,,,
"2002-12-31","15.7511",,,,
"2001-12-31","15.2663",,,,
"2000-12-31","14.9053",,,,
"1999-12-31","14.2413",,,,
"1998-12-31","13.4038",,,,
"1997-12-31","12.8873",,,,
"1996-12-31","10.7855",,,,
"1995-12-31","9.2539",,,,
""
"Period Average","15.8753","","","",""
"Period Low","9.2539","","","",""
"Period High","18.7043","","","",""
