"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/CRC","","","",""
"2011-12-31","499.5751",,,,
"2010-12-31","512.6847",,,,
"2009-12-31","561.3026",,,,
"2008-12-31","515.7813",,,,
"2007-12-31","503.1924",,,,
"2006-12-31","495.0069",,,,
"2005-12-31","473.4801",,,,
"2004-12-31","428.1544",,,,
"2003-12-31","387.9699",,,,
"2002-12-31","346.9378",,,,
"2001-12-31","324.7648",,,,
"2000-12-31","306.9086",,,,
"1999-12-31","284.4571",,,,
"1998-12-31","256.5692",,,,
"1997-12-31","232.1873",,,,
"1996-12-31","207.0524",,,,
"1995-12-31","178.6281",,,,
""
"Period Average","383.2149","","","",""
"Period Low","178.6281","","","",""
"Period High","561.3026","","","",""
