"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/PGK","","","",""
"2011-12-31","2.2724",,,,
"2010-12-31","2.5827",,,,
"2009-12-31","2.6221",,,,
"2008-12-31","2.5874",,,,
"2007-12-31","2.8157",,,,
"2006-12-31","2.8627",,,,
"2005-12-31","3.0321",,,,
"2004-12-31","3.2106",,,,
"2003-12-31","3.4792",,,,
"2002-12-31","3.8252",,,,
"2001-12-31","3.3148",,,,
"2000-12-31","2.7412",,,,
"1999-12-31","2.5693",,,,
"1998-12-31","2.0712",,,,
"1997-12-31","1.4242",,,,
"1996-12-31","1.3142",,,,
"1995-12-31","0.7875",,,,
""
"Period Average","2.5596","","","",""
"Period Low","0.7875","","","",""
"Period High","3.8252","","","",""
