"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/SGD","","","",""
"2011-12-31","1.2566",,,,
"2010-12-31","1.3630",,,,
"2009-12-31","1.4538",,,,
"2008-12-31","1.4148",,,,
"2007-12-31","1.5066",,,,
"2006-12-31","1.5888",,,,
"2005-12-31","1.6638",,,,
"2004-12-31","1.6900",,,,
"2003-12-31","1.7420",,,,
"2002-12-31","1.7900",,,,
"2001-12-31","1.7914",,,,
"2000-12-31","1.7235",,,,
"1999-12-31","1.6942",,,,
"1998-12-31","1.6710",,,,
"1997-12-31","1.4847",,,,
"1996-12-31","1.4093",,,,
"1995-12-31","1.4167",,,,
""
"Period Average","1.5682","","","",""
"Period Low","1.2566","","","",""
"Period High","1.7914","","","",""
