"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/MGA","","","",""
"2011-12-31","1,991.2638",,,,
"2010-12-31","2,066.9115",,,,
"2009-12-31","1,923.2029",,,,
"2008-12-31","1,669.7565",,,,
"2007-12-31","1,823.2200",,,,
"2006-12-31","2,075.9909",,,,
"2005-12-31","1,980.9811",,,,
""
"Period Average","1,933.0467","","","",""
"Period Low","1,669.7565","","","",""
"Period High","2,075.9909","","","",""
