"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/OMR","","","",""
"2011-12-31","0.3838",,,,
"2010-12-31","0.3833",,,,
"2009-12-31","0.3836",,,,
"2008-12-31","0.3836",,,,
"2007-12-31","0.3836",,,,
"2006-12-31","0.3838",,,,
"2005-12-31","0.3846",,,,
"2004-12-31","0.3842",,,,
"2003-12-31","0.3842",,,,
"2002-12-31","0.3838",,,,
"2001-12-31","0.3848",,,,
"2000-12-31","0.3850",,,,
""
"Period Average","0.3840","","","",""
"Period Low","0.3833","","","",""
"Period High","0.3850","","","",""
