"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/LBP","","","",""
"2011-12-31","1,491.2664",,,,
"2010-12-31","1,486.8215",,,,
"2009-12-31","1,485.8143",,,,
"2008-12-31","1,487.5089",,,,
"2007-12-31","1,483.5475",,,,
"2006-12-31","1,471.7764",,,,
"2005-12-31","1,501.2947",,,,
"2004-12-31","1,480.2921",,,,
"2003-12-31","1,464.5953",,,,
"2002-12-31","1,459.6408",,,,
"2001-12-31","1,502.1573",,,,
"2000-12-31","1,508.8176",,,,
"1999-12-31","1,503.6562",,,,
"1998-12-31","1,515.1355",,,,
"1997-12-31","1,537.5965",,,,
"1996-12-31","1,569.8224",,,,
"1995-12-31","1,620.4172",,,,
""
"Period Average","1,504.1271","","","",""
"Period Low","1,459.6408","","","",""
"Period High","1,620.4172","","","",""
