"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/BAM","","","",""
"2011-12-31","1.4059",,,,
"2010-12-31","1.4762",,,,
"2009-12-31","1.4066",,,,
"2008-12-31","1.3361",,,,
"2007-12-31","1.4281",,,,
"2006-12-31","1.5576",,,,
"2005-12-31","1.6233",,,,
""
"Period Average","1.4619","","","",""
"Period Low","1.3361","","","",""
"Period High","1.6233","","","",""
