"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/ANG","","","",""
"2011-12-31","1.7800",,,,
"2010-12-31","1.7802",,,,
"2009-12-31","1.7638",,,,
"2008-12-31","1.7520",,,,
"2007-12-31","1.7579",,,,
"2006-12-31","1.7728",,,,
"2005-12-31","1.7742",,,,
"2004-12-31","1.7722",,,,
"2003-12-31","1.7724",,,,
"2002-12-31","1.7788",,,,
"2001-12-31","1.7800",,,,
"2000-12-31","1.7639",,,,
"1999-12-31","1.7767",,,,
"1998-12-31","1.7900",,,,
"1997-12-31","1.7900",,,,
"1996-12-31","1.7900",,,,
"1995-12-31","1.7822",,,,
""
"Period Average","1.7751","","","",""
"Period Low","1.7520","","","",""
"Period High","1.7900","","","",""
