"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/CVE","","","",""
"2011-12-31","78.3554",,,,
"2010-12-31","80.6805",,,,
"2009-12-31","79.1707",,,,
"2008-12-31","74.1501",,,,
"2007-12-31","78.5346",,,,
"2006-12-31","84.1421",,,,
"2005-12-31","85.0633",,,,
"2004-12-31","98.1751",,,,
"2003-12-31","105.6328",,,,
"2002-12-31","115.7651",,,,
"2001-12-31","119.1009",,,,
"2000-12-31","119.2205",,,,
"1999-12-31","103.2636",,,,
"1998-12-31","99.1271",,,,
"1997-12-31","89.1279",,,,
"1996-12-31","73.9100",,,,
"1995-12-31","73.9100",,,,
""
"Period Average","91.6076","","","",""
"Period Low","73.9100","","","",""
"Period High","119.2205","","","",""
