"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/DOP","","","",""
"2011-12-31","37.5392",,,,
"2010-12-31","36.3028",,,,
"2009-12-31","35.4413",,,,
"2008-12-31","33.9774",,,,
"2007-12-31","32.3407",,,,
"2006-12-31","32.1662",,,,
"2005-12-31","29.0297",,,,
"2004-12-31","39.4466",,,,
"2003-12-31","28.2048",,,,
"2002-12-31","16.8044",,,,
"2001-12-31","15.9820",,,,
"2000-12-31","15.8627",,,,
"1999-12-31","15.8880",,,,
"1998-12-31","15.1918",,,,
"1997-12-31","14.1608",,,,
"1996-12-31","13.8018",,,,
"1995-12-31","13.7470",,,,
""
"Period Average","25.0522","","","",""
"Period Low","13.7470","","","",""
"Period High","39.4466","","","",""
