"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/GYD","","","",""
"2011-12-31","203.2400",,,,
"2010-12-31","203.2284",,,,
"2009-12-31","192.7452",,,,
"2008-12-31","193.7619",,,,
"2007-12-31","193.1567",,,,
"2006-12-31","190.0000",,,,
"2005-12-31","182.8863",,,,
"2004-12-31","178.6817",,,,
"2003-12-31","178.5118",,,,
"2002-12-31","179.3562",,,,
"2001-12-31","180.4932",,,,
"2000-12-31","180.9708",,,,
"1999-12-31","166.9391",,,,
"1998-12-31","145.4581",,,,
"1997-12-31","141.8025",,,,
"1996-12-31","139.1590",,,,
"1995-12-31","142.5058",,,,
""
"Period Average","176.0527","","","",""
"Period Low","139.1590","","","",""
"Period High","203.2400","","","",""
