"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/NAD","","","",""
"2011-12-31","7.1618",,,,
"2010-12-31","7.0768",,,,
"2009-12-31","8.2439",,,,
"2008-12-31","8.1293",,,,
"2007-12-31","6.9242",,,,
"2006-12-31","6.6534",,,,
"2005-12-31","6.3184",,,,
"2004-12-31","6.3344",,,,
"2003-12-31","7.4392",,,,
"2002-12-31","10.3586",,,,
"2001-12-31","8.5658",,,,
"2000-12-31","6.9445",,,,
"1999-12-31","6.0949",,,,
"1998-12-31","5.5246",,,,
"1997-12-31","4.6040",,,,
"1996-12-31","4.2816",,,,
"1995-12-31","3.6524",,,,
""
"Period Average","6.7240","","","",""
"Period Low","3.6524","","","",""
"Period High","10.3586","","","",""
