"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/AWG","","","",""
"2011-12-31","1.7799",,,,
"2010-12-31","1.7800",,,,
"2009-12-31","1.7700",,,,
"2008-12-31","1.7700",,,,
"2007-12-31","1.7700",,,,
"2006-12-31","1.7700",,,,
"2005-12-31","1.7700",,,,
"2004-12-31","1.7709",,,,
"2003-12-31","1.7810",,,,
"2002-12-31","1.7830",,,,
"2001-12-31","1.7836",,,,
"2000-12-31","1.7700",,,,
"1999-12-31","1.7737",,,,
"1998-12-31","1.7900",,,,
"1997-12-31","1.7900",,,,
"1996-12-31","1.7900",,,,
"1995-12-31","1.7900",,,,
""
"Period Average","1.7784","","","",""
"Period Low","1.7700","","","",""
"Period High","1.7900","","","",""
