"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/BWP","","","",""
"2011-12-31","6.7238",,,,
"2010-12-31","6.6739",,,,
"2009-12-31","7.0292",,,,
"2008-12-31","6.7316",,,,
"2007-12-31","6.0138",,,,
"2006-12-31","5.6733",,,,
"2005-12-31","5.0950",,,,
"2004-12-31","4.6805",,,,
"2003-12-31","4.9128",,,,
"2002-12-31","6.2106",,,,
"2001-12-31","5.6907",,,,
"2000-12-31","5.0709",,,,
"1999-12-31","4.6126",,,,
"1998-12-31","4.2166",,,,
"1997-12-31","3.6354",,,,
"1996-12-31","3.3081",,,,
"1995-12-31","2.7537",,,,
""
"Period Average","5.2372","","","",""
"Period Low","2.7537","","","",""
"Period High","7.0292","","","",""
