"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/CZK","","","",""
"2011-12-31","17.6568",,,,
"2010-12-31","19.0670",,,,
"2009-12-31","18.9961",,,,
"2008-12-31","17.0334",,,,
"2007-12-31","20.2603",,,,
"2006-12-31","22.5497",,,,
"2005-12-31","23.9170",,,,
"2004-12-31","25.6567",,,,
"2003-12-31","28.1693",,,,
"2002-12-31","32.6184",,,,
"2001-12-31","38.0878",,,,
"2000-12-31","38.6045",,,,
"1999-12-31","34.6006",,,,
"1998-12-31","32.2327",,,,
"1997-12-31","31.7138",,,,
"1996-12-31","27.1235",,,,
"1995-12-31","26.3855",,,,
""
"Period Average","26.7455","","","",""
"Period Low","17.0334","","","",""
"Period High","38.6045","","","",""
