"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/BHD","","","",""
"2011-12-31","0.3753",,,,
"2010-12-31","0.3750",,,,
"2009-12-31","0.3749",,,,
"2008-12-31","0.3746",,,,
"2007-12-31","0.3743",,,,
"2006-12-31","0.3740",,,,
"2005-12-31","0.3768",,,,
"2004-12-31","0.3765",,,,
"2003-12-31","0.3765",,,,
"2002-12-31","0.3764",,,,
"2001-12-31","0.3768",,,,
"2000-12-31","0.3770",,,,
"1999-12-31","0.3770",,,,
"1998-12-31","0.3770",,,,
"1997-12-31","0.3770",,,,
"1996-12-31","0.3770",,,,
"1995-12-31","0.3770",,,,
""
"Period Average","0.3761","","","",""
"Period Low","0.3740","","","",""
"Period High","0.3770","","","",""
