"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/GTQ","","","",""
"2011-12-31","7.6496",,,,
"2010-12-31","7.9228",,,,
"2009-12-31","8.0104",,,,
"2008-12-31","7.4215",,,,
"2007-12-31","7.4588",,,,
"2006-12-31","7.3301",,,,
"2005-12-31","7.5532",,,,
"2004-12-31","7.7402",,,,
"2003-12-31","7.7091",,,,
"2002-12-31","7.5493",,,,
"2001-12-31","7.7608",,,,
"2000-12-31","7.7576",,,,
"1999-12-31","7.3340",,,,
"1998-12-31","6.3699",,,,
"1997-12-31","6.0542",,,,
"1996-12-31","6.0796",,,,
"1995-12-31","5.7776",,,,
""
"Period Average","7.2635","","","",""
"Period Low","5.7776","","","",""
"Period High","8.0104","","","",""
