"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/UGX","","","",""
"2011-12-31","2,492.0701",,,,
"2010-12-31","2,153.2065",,,,
"2009-12-31","2,007.9386",,,,
"2008-12-31","1,692.6326",,,,
"2007-12-31","1,697.4031",,,,
"2006-12-31","1,806.4571",,,,
"2005-12-31","1,774.7184",,,,
"2004-12-31","1,807.1139",,,,
"2003-12-31","1,840.1576",,,,
"2002-12-31","1,729.8558",,,,
"2001-12-31","1,739.6834",,,,
"2000-12-31","1,620.2377",,,,
"1999-12-31","1,454.3384",,,,
"1998-12-31","1,229.8003",,,,
"1997-12-31","1,072.8562",,,,
"1996-12-31","1,038.6530",,,,
"1995-12-31","1,027.3857",,,,
""
"Period Average","1,657.9123","","","",""
"Period Low","1,027.3857","","","",""
"Period High","2,492.0701","","","",""
