"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/RON","","","",""
"2011-12-31","3.0446",,,,
"2010-12-31","3.1695",,,,
"2009-12-31","3.0371",,,,
"2008-12-31","2.5075",,,,
"2007-12-31","2.4272",,,,
"2006-12-31","2.8002",,,,
"2005-12-31","2.8892",,,,
"2004-12-31","3.1835",,,,
"2003-12-31","3.2323",,,,
"2002-12-31","3.1981",,,,
"2001-12-31","2.8766",,,,
"2000-12-31","2.1663",,,,
"1999-12-31","1.5333",,,,
"1998-12-31","0.8864",,,,
"1997-12-31","0.7121",,,,
"1996-12-31","0.3114",,,,
"1995-12-31","0.2484",,,,
""
"Period Average","2.2484","","","",""
"Period Low","0.2484","","","",""
"Period High","3.2323","","","",""
