"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/HRK","","","",""
"2011-12-31","5.3337",,,,
"2010-12-31","5.4883",,,,
"2009-12-31","5.2704",,,,
"2008-12-31","4.9277",,,,
"2007-12-31","5.3564",,,,
"2006-12-31","5.8312",,,,
"2005-12-31","5.9217",,,,
"2004-12-31","5.7949",,,,
"2003-12-31","6.4415",,,,
"2002-12-31","7.5828",,,,
"2001-12-31","8.2806",,,,
"2000-12-31","8.2653",,,,
"1999-12-31","7.0927",,,,
"1998-12-31","6.3463",,,,
"1997-12-31","6.1230",,,,
"1996-12-31","5.3890",,,,
"1995-12-31","5.2800",,,,
""
"Period Average","6.1603","","","",""
"Period Low","4.9277","","","",""
"Period High","8.2806","","","",""
