"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/PHP","","","",""
"2011-12-31","43.1844",,,,
"2010-12-31","44.9437",,,,
"2009-12-31","47.4437",,,,
"2008-12-31","44.2770",,,,
"2007-12-31","45.9412",,,,
"2006-12-31","51.1501",,,,
"2005-12-31","54.9770",,,,
"2004-12-31","55.9060",,,,
"2003-12-31","54.0579",,,,
"2002-12-31","51.4802",,,,
"2001-12-31","50.8567",,,,
"2000-12-31","44.1477",,,,
"1999-12-31","39.0667",,,,
"1998-12-31","40.8057",,,,
"1997-12-31","29.5344",,,,
"1996-12-31","26.2046",,,,
"1995-12-31","25.6249",,,,
""
"Period Average","44.0942","","","",""
"Period Low","25.6249","","","",""
"Period High","55.9060","","","",""
