"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/LVL","","","",""
"2011-12-31","0.5056",,,,
"2010-12-31","0.5327",,,,
"2009-12-31","0.5042",,,,
"2008-12-31","0.4753",,,,
"2007-12-31","0.5091",,,,
"2006-12-31","0.5530",,,,
"2005-12-31","0.5593",,,,
"2004-12-31","0.5349",,,,
"2003-12-31","0.5665",,,,
"2002-12-31","0.6150",,,,
"2001-12-31","0.6250",,,,
"2000-12-31","0.6057",,,,
"1999-12-31","0.5868",,,,
"1998-12-31","0.5882",,,,
"1997-12-31","0.5783",,,,
"1996-12-31","0.5471",,,,
"1995-12-31","0.5352",,,,
""
"Period Average","0.5542","","","",""
"Period Low","0.4753","","","",""
"Period High","0.6250","","","",""
