"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/IRR","","","",""
"2011-12-31","10,494.1636",,,,
"2010-12-31","9,926.6060",,,,
"2009-12-31","9,706.6318",,,,
"2008-12-31","9,296.1512",,,,
"2007-12-31","9,017.7294",,,,
"2006-12-31","8,837.4842",,,,
"2005-12-31","8,174.2937",,,,
"2004-12-31","7,900.0000",,,,
"2003-12-31","7,900.0000",,,,
"2002-12-31","6,889.0411",,,,
"2001-12-31","1,750.0000",,,,
"2000-12-31","1,750.0000",,,,
"1999-12-31","1,750.3068",,,,
"1998-12-31","1,750.5384",,,,
"1997-12-31","2,398.0384",,,,
"1996-12-31","1,583.0000",,,,
"1995-12-31","1,583.0000",,,,
""
"Period Average","5,923.9403","","","",""
"Period Low","1,583.0000","","","",""
"Period High","10,494.1636","","","",""
