"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/FJD","","","",""
"2011-12-31","1.7831",,,,
"2010-12-31","1.9059",,,,
"2009-12-31","1.9398",,,,
"2008-12-31","1.5845",,,,
"2007-12-31","1.6008",,,,
"2006-12-31","1.7210",,,,
"2005-12-31","1.6854",,,,
"2004-12-31","1.7339",,,,
"2003-12-31","1.8874",,,,
"2002-12-31","2.1894",,,,
"2001-12-31","2.2657",,,,
"2000-12-31","2.1171",,,,
"1999-12-31","1.9660",,,,
"1998-12-31","1.9575",,,,
"1997-12-31","1.4376",,,,
"1996-12-31","1.4000",,,,
"1995-12-31","1.4204",,,,
""
"Period Average","1.7997","","","",""
"Period Low","1.4000","","","",""
"Period High","2.2657","","","",""
