"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/PLN","","","",""
"2011-12-31","2.9585",,,,
"2010-12-31","3.0107",,,,
"2009-12-31","3.1112",,,,
"2008-12-31","2.4032",,,,
"2007-12-31","2.7626",,,,
"2006-12-31","3.0995",,,,
"2005-12-31","3.2311",,,,
"2004-12-31","3.6477",,,,
"2003-12-31","3.8827",,,,
"2002-12-31","4.0749",,,,
"2001-12-31","4.0933",,,,
"2000-12-31","4.3451",,,,
"1999-12-31","3.9640",,,,
"1998-12-31","3.4897",,,,
"1997-12-31","3.2785",,,,
"1996-12-31","2.6958",,,,
"1995-12-31","2.4827",,,,
""
"Period Average","3.3254","","","",""
"Period Low","2.4032","","","",""
"Period High","4.3451","","","",""
