"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/KMF","","","",""
"2011-12-31","352.7188",,,,
"2010-12-31","370.9807",,,,
"2009-12-31","353.7973",,,,
"2008-12-31","336.2251",,,,
"2007-12-31","359.6404",,,,
"2006-12-31","391.2462",,,,
"2005-12-31","391.6272",,,,
"2004-12-31","392.5164",,,,
"2003-12-31","433.8727",,,,
"2002-12-31","519.8279",,,,
"2001-12-31","549.9321",,,,
"2000-12-31","534.3747",,,,
"1999-12-31","456.2606",,,,
"1998-12-31","444.5289",,,,
"1997-12-31","433.6422",,,,
"1996-12-31","382.1989",,,,
"1995-12-31","367.2784",,,,
""
"Period Average","415.9217","","","",""
"Period Low","336.2251","","","",""
"Period High","549.9321","","","",""
