"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/MOP","","","",""
"2011-12-31","7.8747",,,,
"2010-12-31","7.8515",,,,
"2009-12-31","7.8449",,,,
"2008-12-31","7.8924",,,,
"2007-12-31","7.8052",,,,
"2006-12-31","7.6864",,,,
"2005-12-31","7.6880",,,,
"2004-12-31","7.7620",,,,
"2003-12-31","7.7518",,,,
"2002-12-31","7.6975",,,,
"2001-12-31","7.9103",,,,
"2000-12-31","8.0096",,,,
"1999-12-31","7.9917",,,,
"1998-12-31","8.0017",,,,
"1997-12-31","7.9939",,,,
"1996-12-31","7.9900",,,,
"1995-12-31","7.9882",,,,
""
"Period Average","7.8670","","","",""
"Period Low","7.6864","","","",""
"Period High","8.0096","","","",""
