"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/PEN","","","",""
"2011-12-31","2.7215",,,,
"2010-12-31","2.7870",,,,
"2009-12-31","2.9703",,,,
"2008-12-31","2.8788",,,,
"2007-12-31","3.0587",,,,
"2006-12-31","3.1856",,,,
"2005-12-31","3.2815",,,,
"2004-12-31","3.3187",,,,
"2003-12-31","3.3548",,,,
"2002-12-31","3.3674",,,,
"2001-12-31","3.4627",,,,
"2000-12-31","3.4872",,,,
"1999-12-31","3.3790",,,,
"1998-12-31","2.9258",,,,
"1997-12-31","2.6588",,,,
"1996-12-31","2.4478",,,,
"1995-12-31","2.3066",,,,
""
"Period Average","3.0348","","","",""
"Period Low","2.3066","","","",""
"Period High","3.4872","","","",""
