"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/GMD","","","",""
"2011-12-31","27.2673",,,,
"2010-12-31","26.9884",,,,
"2009-12-31","26.0455",,,,
"2008-12-31","21.9086",,,,
"2007-12-31","24.1132",,,,
"2006-12-31","27.0579",,,,
"2005-12-31","27.7627",,,,
"2004-12-31","28.9942",,,,
"2003-12-31","26.3492",,,,
"2002-12-31","19.2038",,,,
"2001-12-31","15.7374",,,,
"2000-12-31","12.6656",,,,
"1999-12-31","11.3230",,,,
"1998-12-31","10.6303",,,,
"1997-12-31","10.1871",,,,
"1996-12-31","9.8668",,,,
"1995-12-31","9.6648",,,,
""
"Period Average","19.7509","","","",""
"Period Low","9.6648","","","",""
"Period High","28.9942","","","",""
