"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/STD","","","",""
"2011-12-31","17,512.5055",,,,
"2010-12-31","17,992.5304",,,,
"2009-12-31","15,224.2770",,,,
"2008-12-31","14,205.0101",,,,
"2007-12-31","11,503.7817",,,,
"2006-12-31","6,648.7563",,,,
"2005-12-31","8,413.0108",,,,
"2004-12-31","8,792.2732",,,,
"2003-12-31","8,844.2762",,,,
"2002-12-31","8,930.8323",,,,
"2001-12-31","3,375.5190",,,,
"2000-12-31","2,129.0297",,,,
"1999-12-31","2,355.1964",,,,
"1998-12-31","2,390.0000",,,,
"1997-12-31","2,100.8621",,,,
"1996-12-31","1,933.0522",,,,
"1995-12-31","1,572.5544",,,,
""
"Period Average","7,877.8510","","","",""
"Period Low","1,572.5544","","","",""
"Period High","17,992.5304","","","",""
