"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/MNT","","","",""
"2011-12-31","1,254.6301",,,,
"2010-12-31","1,350.8466",,,,
"2009-12-31","1,439.2983",,,,
"2008-12-31","1,165.9203",,,,
"2007-12-31","1,169.7385",,,,
"2006-12-31","1,134.9911",,,,
"2005-12-31","1,120.3700",,,,
"2004-12-31","1,120.3700",,,,
"2003-12-31","1,121.2970",,,,
"2002-12-31","1,103.8603",,,,
"2001-12-31","1,096.2699",,,,
"2000-12-31","1,068.9557",,,,
"1999-12-31","990.8403",,,,
"1998-12-31","819.4108",,,,
"1997-12-31","514.2037",,,,
"1996-12-31","466.0968",,,,
"1995-12-31","427.7364",,,,
""
"Period Average","1,021.4609","","","",""
"Period Low","427.7364","","","",""
"Period High","1,439.2983","","","",""
