"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/CUP","","","",""
"2011-12-31","22.2222",,,,
"2010-12-31","22.2222",,,,
"2009-12-31","22.2222",,,,
"2008-12-31","22.2222",,,,
"2007-12-31","22.2222",,,,
"2006-12-31","21.9711",,,,
"2005-12-31","21.0000",,,,
"2004-12-31","21.0000",,,,
"2003-12-31","4.2388",,,,
"2002-12-31","2.0341",,,,
"2001-12-31","1.0000",,,,
"2000-12-31","1.0000",,,,
"1999-12-31","11.9699",,,,
"1998-12-31","23.0000",,,,
"1997-12-31","20.9342",,,,
"1996-12-31","3.3005",,,,
"1995-12-31","1.0000",,,,
""
"Period Average","14.3270","","","",""
"Period Low","1.0000","","","",""
"Period High","23.0000","","","",""
