"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/AUD","","","",""
"2011-12-31","0.9687",,,,
"2010-12-31","1.0900",,,,
"2009-12-31","1.2804",,,,
"2008-12-31","1.1961",,,,
"2007-12-31","1.1947",,,,
"2006-12-31","1.3277",,,,
"2005-12-31","1.3115",,,,
"2004-12-31","1.3590",,,,
"2003-12-31","1.5407",,,,
"2002-12-31","1.8398",,,,
"2001-12-31","1.9317",,,,
"2000-12-31","1.7233",,,,
"1999-12-31","1.5493",,,,
"1998-12-31","1.5912",,,,
"1997-12-31","1.3479",,,,
"1996-12-31","1.2773",,,,
"1995-12-31","1.3492",,,,
""
"Period Average","1.4046","","","",""
"Period Low","0.9687","","","",""
"Period High","1.9317","","","",""
