"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/GEL","","","",""
"2011-12-31","1.6860",,,,
"2010-12-31","1.7826",,,,
"2009-12-31","1.6700",,,,
"2008-12-31","1.6504",,,,
"2007-12-31","1.7650",,,,
"2006-12-31","1.9541",,,,
""
"Period Average","1.7514","","","",""
"Period Low","1.6504","","","",""
"Period High","1.9541","","","",""
