"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/ALL","","","",""
"2011-12-31","99.0767",,,,
"2010-12-31","102.1143",,,,
"2009-12-31","93.0588",,,,
"2008-12-31","82.1930",,,,
"2007-12-31","87.4938",,,,
"2006-12-31","93.3506",,,,
"2005-12-31","96.6951",,,,
"2004-12-31","98.7423",,,,
"2003-12-31","117.4799",,,,
"2002-12-31","134.8268",,,,
"2001-12-31","141.2898",,,,
"2000-12-31","142.8223",,,,
"1999-12-31","136.2543",,,,
"1998-12-31","149.1528",,,,
"1997-12-31","144.9286",,,,
"1996-12-31","100.0880",,,,
"1995-12-31","91.7870",,,,
""
"Period Average","112.4326","","","",""
"Period Low","82.1930","","","",""
"Period High","149.1528","","","",""
