"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/AED","","","",""
"2011-12-31","3.6724",,,,
"2010-12-31","3.6721",,,,
"2009-12-31","3.6718",,,,
"2008-12-31","3.6717",,,,
"2007-12-31","3.6712",,,,
"2006-12-31","3.6720",,,,
"2005-12-31","3.6724",,,,
"2004-12-31","3.6724",,,,
"2003-12-31","3.6727",,,,
"2002-12-31","3.6727",,,,
"2001-12-31","3.6725",,,,
"2000-12-31","3.6727",,,,
"1999-12-31","3.6727",,,,
"1998-12-31","3.6727",,,,
"1997-12-31","3.6724",,,,
"1996-12-31","3.6725",,,,
"1995-12-31","3.6725",,,,
""
"Period Average","3.6723","","","",""
"Period Low","3.6712","","","",""
"Period High","3.6727","","","",""
