"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/CAD","","","",""
"2011-12-31","0.9888",,,,
"2010-12-31","1.0302",,,,
"2009-12-31","1.1411",,,,
"2008-12-31","1.0660",,,,
"2007-12-31","1.0738",,,,
"2006-12-31","1.1340",,,,
"2005-12-31","1.2111",,,,
"2004-12-31","1.3008",,,,
"2003-12-31","1.4002",,,,
"2002-12-31","1.5696",,,,
"2001-12-31","1.5482",,,,
"2000-12-31","1.4843",,,,
"1999-12-31","1.4849",,,,
"1998-12-31","1.4830",,,,
"1997-12-31","1.3843",,,,
"1996-12-31","1.3632",,,,
"1995-12-31","1.3719",,,,
""
"Period Average","1.2962","","","",""
"Period Low","0.9888","","","",""
"Period High","1.5696","","","",""
