"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/JMD","","","",""
"2011-12-31","84.2694",,,,
"2010-12-31","85.5581",,,,
"2009-12-31","85.5905",,,,
"2008-12-31","70.3601",,,,
"2007-12-31","67.7244",,,,
"2006-12-31","64.0910",,,,
"2005-12-31","59.3345",,,,
"2004-12-31","57.6446",,,,
"2003-12-31","53.1669",,,,
"2002-12-31","47.5586",,,,
"2001-12-31","45.4605",,,,
"2000-12-31","42.2125",,,,
"1999-12-31","38.2927",,,,
"1998-12-31","35.7978",,,,
"1997-12-31","34.3119",,,,
"1996-12-31","36.3294",,,,
"1995-12-31","33.5161",,,,
""
"Period Average","55.3658","","","",""
"Period Low","33.5161","","","",""
"Period High","85.5905","","","",""
