"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/SZL","","","",""
"2011-12-31","7.1724",,,,
"2010-12-31","7.2123",,,,
"2009-12-31","8.4163",,,,
"2008-12-31","8.2123",,,,
"2007-12-31","7.0136",,,,
"2006-12-31","6.7301",,,,
"2005-12-31","6.3391",,,,
"2004-12-31","6.3944",,,,
"2003-12-31","7.5136",,,,
"2002-12-31","10.4707",,,,
"2001-12-31","8.5540",,,,
"2000-12-31","6.7226",,,,
"1999-12-31","6.1353",,,,
"1998-12-31","5.5014",,,,
"1997-12-31","4.6070",,,,
"1996-12-31","4.2856",,,,
"1995-12-31","3.6266",,,,
""
"Period Average","6.7592","","","",""
"Period Low","3.6266","","","",""
"Period High","10.4707","","","",""
