"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/SYP","","","",""
"2011-12-31","47.2425",,,,
"2010-12-31","45.4237",,,,
"2009-12-31","45.5338",,,,
"2008-12-31","49.1633",,,,
"2007-12-31","50.2458",,,,
"2006-12-31","50.1966",,,,
"2005-12-31","51.4368",,,,
"2004-12-31","48.9508",,,,
"2003-12-31","44.9530",,,,
"2002-12-31","48.0462",,,,
"2001-12-31","49.1986",,,,
"2000-12-31","45.9832",,,,
"1999-12-31","42.1224",,,,
"1998-12-31","41.8486",,,,
"1997-12-31","41.8941",,,,
"1996-12-31","41.9473",,,,
"1995-12-31","41.4249",,,,
""
"Period Average","46.2125","","","",""
"Period Low","41.4249","","","",""
"Period High","51.4368","","","",""
