"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/WST","","","",""
"2011-12-31","2.2727",,,,
"2010-12-31","2.4419",,,,
"2009-12-31","2.6803",,,,
"2008-12-31","2.5948",,,,
"2007-12-31","2.6479",,,,
"2006-12-31","2.7406",,,,
"2005-12-31","2.6217",,,,
"2004-12-31","2.7896",,,,
"2003-12-31","3.0200",,,,
"2002-12-31","3.4087",,,,
"2001-12-31","3.3730",,,,
"2000-12-31","3.0678",,,,
"1999-12-31","3.0225",,,,
"1998-12-31","2.9278",,,,
"1997-12-31","2.5390",,,,
"1996-12-31","2.4596",,,,
"1995-12-31","2.4841",,,,
""
"Period Average","2.7701","","","",""
"Period Low","2.2727","","","",""
"Period High","3.4087","","","",""
