"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/MYR","","","",""
"2011-12-31","3.0528",,,,
"2010-12-31","3.2110",,,,
"2009-12-31","3.5135",,,,
"2008-12-31","3.3247",,,,
"2007-12-31","3.4262",,,,
"2006-12-31","3.6530",,,,
"2005-12-31","3.7852",,,,
"2004-12-31","3.7987",,,,
"2003-12-31","3.7975",,,,
"2002-12-31","3.7971",,,,
"2001-12-31","3.7989",,,,
"2000-12-31","3.7998",,,,
"1999-12-31","3.7993",,,,
"1998-12-31","3.9144",,,,
"1997-12-31","2.8150",,,,
"1996-12-31","2.5151",,,,
"1995-12-31","2.5074",,,,
""
"Period Average","3.4417","","","",""
"Period Low","2.5074","","","",""
"Period High","3.9144","","","",""
