"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/BZD","","","",""
"2011-12-31","1.9408",,,,
"2010-12-31","1.9331",,,,
"2009-12-31","1.9278",,,,
"2008-12-31","1.9259",,,,
"2007-12-31","1.9164",,,,
"2006-12-31","1.8946",,,,
"2005-12-31","1.9532",,,,
"2004-12-31","1.9667",,,,
"2003-12-31","1.9672",,,,
"2002-12-31","1.9696",,,,
"2001-12-31","1.9708",,,,
"2000-12-31","1.9843",,,,
"1999-12-31","1.9858",,,,
"1998-12-31","2.0000",,,,
"1997-12-31","2.0000",,,,
"1996-12-31","2.0000",,,,
"1995-12-31","2.0000",,,,
""
"Period Average","1.9610","","","",""
"Period Low","1.8946","","","",""
"Period High","2.0000","","","",""
