"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/BMD","","","",""
"2011-12-31","1.0000",,,,
"2010-12-31","1.0000",,,,
"2009-12-31","0.9999",,,,
"2008-12-31","0.9955",,,,
"2007-12-31","0.9909",,,,
"2006-12-31","0.9987",,,,
"2005-12-31","1.0013",,,,
"2004-12-31","1.0007",,,,
"2003-12-31","0.9938",,,,
"2002-12-31","0.9973",,,,
"2001-12-31","0.9898",,,,
"2000-12-31","1.0131",,,,
"1999-12-31","0.9980",,,,
"1998-12-31","1.0000",,,,
"1997-12-31","1.0000",,,,
"1996-12-31","1.0000",,,,
"1995-12-31","1.0000",,,,
""
"Period Average","0.9988","","","",""
"Period Low","0.9898","","","",""
"Period High","1.0131","","","",""
