"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/UZS","","","",""
"2011-12-31","1,715.8084",,,,
"2010-12-31","1,587.1219",,,,
"2009-12-31","1,463.8105",,,,
"2008-12-31","1,317.6432",,,,
"2007-12-31","1,286.0907",,,,
""
"Period Average","1,474.0950","","","",""
"Period Low","1,286.0907","","","",""
"Period High","1,715.8084","","","",""
