"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/MAD","","","",""
"2011-12-31","8.0317",,,,
"2010-12-31","8.3499",,,,
"2009-12-31","8.0314",,,,
"2008-12-31","7.6914",,,,
"2007-12-31","8.1335",,,,
"2006-12-31","8.6838",,,,
"2005-12-31","8.7710",,,,
"2004-12-31","8.7813",,,,
"2003-12-31","9.4750",,,,
"2002-12-31","10.9704",,,,
"2001-12-31","11.2684",,,,
"2000-12-31","10.6063",,,,
"1999-12-31","9.7821",,,,
"1998-12-31","9.5864",,,,
"1997-12-31","9.4960",,,,
"1996-12-31","8.6775",,,,
"1995-12-31","8.4250",,,,
""
"Period Average","9.1036","","","",""
"Period Low","7.6914","","","",""
"Period High","11.2684","","","",""
