"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/SOS","","","",""
"2011-12-31","1,576.8408",,,,
"2010-12-31","1,525.1337",,,,
"2009-12-31","1,390.4964",,,,
"2008-12-31","1,371.4617",,,,
"2007-12-31","1,309.1905",,,,
"2006-12-31","1,349.0773",,,,
"2005-12-31","2,638.9965",,,,
"2004-12-31","2,731.9167",,,,
"2003-12-31","2,615.8726",,,,
"2002-12-31","2,606.9092",,,,
"2001-12-31","2,619.2818",,,,
"2000-12-31","2,612.8204",,,,
"1999-12-31","2,588.7053",,,,
"1998-12-31","2,620.0000",,,,
"1997-12-31","2,620.0000",,,,
"1996-12-31","2,620.0000",,,,
"1995-12-31","2,620.0000",,,,
""
"Period Average","2,200.9825","","","",""
"Period Low","1,309.1905","","","",""
"Period High","2,731.9167","","","",""
