"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/VUV","","","",""
"2011-12-31","89.8806",,,,
"2010-12-31","95.7679",,,,
"2009-12-31","102.9096",,,,
"2008-12-31","95.5104",,,,
"2007-12-31","97.7347",,,,
"2006-12-31","107.9432",,,,
"2005-12-31","107.8506",,,,
"2004-12-31","111.1058",,,,
"2003-12-31","121.4416",,,,
"2002-12-31","137.8944",,,,
"2001-12-31","144.6743",,,,
"2000-12-31","137.4017",,,,
"1999-12-31","128.7050",,,,
"1998-12-31","127.2281",,,,
"1997-12-31","115.3279",,,,
"1996-12-31","111.1855",,,,
"1995-12-31","112.5697",,,,
""
"Period Average","114.4195","","","",""
"Period Low","89.8806","","","",""
"Period High","144.6743","","","",""
