"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/ILS","","","",""
"2011-12-31","3.5729",,,,
"2010-12-31","3.7313",,,,
"2009-12-31","3.9232",,,,
"2008-12-31","3.5820",,,,
"2007-12-31","4.1052",,,,
"2006-12-31","4.4490",,,,
"2005-12-31","4.4766",,,,
"2004-12-31","4.4698",,,,
"2003-12-31","4.5420",,,,
"2002-12-31","4.7318",,,,
"2001-12-31","4.2031",,,,
"2000-12-31","4.0771",,,,
"1999-12-31","4.1359",,,,
"1998-12-31","3.7950",,,,
"1997-12-31","3.4446",,,,
"1996-12-31","3.1857",,,,
"1995-12-31","3.0083",,,,
""
"Period Average","3.9667","","","",""
"Period Low","3.0083","","","",""
"Period High","4.7318","","","",""
