"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/AMD","","","",""
"2011-12-31","372.2880",,,,
"2010-12-31","373.7114",,,,
"2009-12-31","363.4830",,,,
"2008-12-31","305.9564",,,,
"2007-12-31","342.5125",,,,
"2006-12-31","418.4481",,,,
""
"Period Average","362.7333","","","",""
"Period Low","305.9564","","","",""
"Period High","418.4481","","","",""
