"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/BRL","","","",""
"2011-12-31","1.6698",,,,
"2010-12-31","1.7535",,,,
"2009-12-31","1.9924",,,,
"2008-12-31","1.8291",,,,
"2007-12-31","1.9448",,,,
"2006-12-31","2.1719",,,,
"2005-12-31","2.4320",,,,
"2004-12-31","2.9241",,,,
"2003-12-31","3.0379",,,,
"2002-12-31","2.8724",,,,
"2001-12-31","2.3278",,,,
"2000-12-31","1.8288",,,,
"1999-12-31","1.8099",,,,
"1998-12-31","1.1602",,,,
"1997-12-31","1.0776",,,,
"1996-12-31","1.0046",,,,
"1995-12-31","0.9647",,,,
""
"Period Average","1.9295","","","",""
"Period Low","0.9647","","","",""
"Period High","3.0379","","","",""
